listing_id,reviewer_name,review_date,review_status,final_quality_score_0_100,final_listing_decision,final_reviewer_note,label_source
L0063,Aniket,2026-02-15,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0064,Ashmita,2026-02-18,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0065,Anmol,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0066,Anmol,2026-02-15,reviewed,37,Reject,Condition penalty -18; Price deviation penalty -45,human_reviewed
L0067,Ashmita,2026-02-15,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0068,Ashmita,2026-02-21,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0069,Anmol,2026-02-15,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0070,Anmol,2026-02-15,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0071,Ashmita,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0072,Ashmita,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0073,Anmol,2026-02-15,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0074,Ashmita,2026-02-13,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0075,Ashmita,2026-02-13,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0076,Ashmita,2026-02-21,reviewed,54,Review,Condition penalty -8; Age penalty -8; Price deviation penalty -30,human_reviewed
L0077,Anmol,2026-02-15,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0078,Bhawya,2026-02-21,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0079,Bhawya,2026-02-21,reviewed,44,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -30,human_reviewed
L0080,Aniket,2026-02-15,reviewed,75,Approve,Condition penalty -8; Age penalty -12; Price deviation penalty -5,human_reviewed
L0081,Ashmita,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0082,Anmol,2026-02-13,reviewed,33,Reject,Condition penalty -18; Age penalty -4; Price deviation penalty -45,human_reviewed
L0083,Anmol,2026-02-13,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0084,Anmol,2026-02-18,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0085,Bhawya,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0086,Ashmita,2026-02-15,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0087,Anmol,2026-02-15,reviewed,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45,human_reviewed
L0088,Anmol,2026-02-21,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0089,Ashmita,2026-02-18,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0090,Anmol,2026-02-15,reviewed,80,Review,Price deviation penalty -20,human_reviewed
L0091,Ashmita,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0092,Ashmita,2026-02-15,reviewed,47,Reject,Condition penalty -8; Price deviation penalty -45,human_reviewed
L0093,Ashmita,2026-02-21,reviewed,84,Approve,Condition penalty -8; Age penalty -8,human_reviewed
L0094,Bhawya,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0095,Anmol,2026-02-18,reviewed,64,Review,Condition penalty -8; Age penalty -8; Price deviation penalty -20,human_reviewed
L0096,Ashmita,2026-02-15,reviewed,84,Approve,Age penalty -4; Price deviation penalty -12,human_reviewed
L0097,Anmol,2026-02-13,reviewed,72,Approve,Condition penalty -8; Age penalty -8; Price deviation penalty -12,human_reviewed
L0098,Ashmita,2026-02-13,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0099,Ashmita,2026-02-18,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0100,Anmol,2026-02-21,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0101,Anmol,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0102,Ashmita,2026-02-13,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0103,Bhawya,2026-02-18,reviewed,62,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -12,human_reviewed
L0104,Anmol,2026-02-13,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0105,Anmol,2026-02-15,reviewed,64,Review,Condition penalty -8; Age penalty -8; Price deviation penalty -20,human_reviewed
L0106,Anmol,2026-02-18,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0107,Aniket,2026-02-15,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0108,Anmol,2026-02-18,reviewed,65,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -5,human_reviewed
L0109,Anmol,2026-02-15,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0110,Aniket,2026-02-13,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0111,Bhawya,2026-02-18,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0112,Anmol,2026-02-21,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0113,Aniket,2026-02-18,reviewed,80,Approve,Condition penalty -8; Price deviation penalty -12,human_reviewed
L0114,Ashmita,2026-02-21,reviewed,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12,human_reviewed
L0115,Anmol,2026-02-15,reviewed,69,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -5,human_reviewed
L0116,Anmol,2026-02-15,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0117,Anmol,2026-02-21,reviewed,80,Approve,Condition penalty -8; Age penalty -12,human_reviewed
L0118,Anmol,2026-02-21,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0119,Ashmita,2026-02-21,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0120,Aniket,2026-02-18,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0121,Bhawya,2026-02-18,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0122,Anmol,2026-02-18,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0123,Ashmita,2026-02-18,reviewed,79,Approve,Condition penalty -8; Age penalty -8; Price deviation penalty -5,human_reviewed
L0124,Bhawya,2026-02-21,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0125,Ashmita,2026-02-15,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0126,Ashmita,2026-02-15,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0127,Anmol,2026-02-13,reviewed,62,Review,Condition penalty -8; Price deviation penalty -30,human_reviewed
L0128,Anmol,2026-02-15,reviewed,76,Review,Age penalty -4; Price deviation penalty -20,human_reviewed
L0129,Ashmita,2026-02-13,reviewed,58,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -20,human_reviewed
L0130,Bhawya,2026-02-13,reviewed,80,Review,Price deviation penalty -20,human_reviewed
L0131,Ashmita,2026-02-13,reviewed,54,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -20,human_reviewed
L0132,Ashmita,2026-02-15,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0133,Ashmita,2026-02-13,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0134,Aniket,2026-02-15,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0135,Anmol,2026-02-18,reviewed,44,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -30,human_reviewed
L0136,Ashmita,2026-02-21,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0137,Aniket,2026-02-15,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0138,Anmol,2026-02-18,reviewed,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30,human_reviewed
L0139,Ashmita,2026-02-18,reviewed,66,Review,Age penalty -4; Price deviation penalty -30,human_reviewed
L0140,Anmol,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0141,Anmol,2026-02-15,reviewed,62,Review,Condition penalty -8; Price deviation penalty -30,human_reviewed
L0142,Aniket,2026-02-21,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0143,Ashmita,2026-02-21,reviewed,79,Approve,Condition penalty -8; Age penalty -8; Price deviation penalty -5,human_reviewed
L0144,Aniket,2026-02-18,reviewed,43,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0145,Ashmita,2026-02-18,reviewed,70,Review,Price deviation penalty -30,human_reviewed
L0146,Bhawya,2026-02-13,reviewed,87,Approve,Condition penalty -8; Price deviation penalty -5,human_reviewed
L0147,Ashmita,2026-02-21,reviewed,79,Approve,Condition penalty -8; Age penalty -8; Price deviation penalty -5,human_reviewed
L0148,Anmol,2026-02-13,reviewed,91,Approve,Age penalty -4; Price deviation penalty -5,human_reviewed
L0149,Anmol,2026-02-15,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0150,Anmol,2026-02-13,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0151,Anmol,2026-02-18,reviewed,44,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -30,human_reviewed
L0152,Ashmita,2026-02-13,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0153,Anmol,2026-02-15,reviewed,76,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -12,human_reviewed
L0154,Bhawya,2026-02-18,reviewed,54,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -20,human_reviewed
L0155,Aniket,2026-02-15,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0156,Bhawya,2026-02-21,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0157,Ashmita,2026-02-13,reviewed,87,Approve,Condition penalty -8; Price deviation penalty -5,human_reviewed
L0158,Anmol,2026-02-15,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0159,Aniket,2026-02-18,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0160,Aniket,2026-02-15,reviewed,69,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -5,human_reviewed
L0161,Anmol,2026-02-15,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0162,Ashmita,2026-02-13,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0163,Anmol,2026-02-21,reviewed,76,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -12,human_reviewed
L0164,Anmol,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0165,Ashmita,2026-02-21,reviewed,55,Review,Price deviation penalty -45,human_reviewed
L0166,Ashmita,2026-02-13,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0167,Bhawya,2026-02-15,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0168,Ashmita,2026-02-21,reviewed,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20,human_reviewed
L0169,Anmol,2026-02-15,reviewed,44,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -30,human_reviewed
L0170,Anmol,2026-02-15,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0171,Anmol,2026-02-13,reviewed,44,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -30,human_reviewed
L0172,Anmol,2026-02-18,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0173,Bhawya,2026-02-13,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0174,Ashmita,2026-02-13,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0175,Anmol,2026-02-15,reviewed,47,Reject,Condition penalty -8; Price deviation penalty -45,human_reviewed
L0176,Anmol,2026-02-15,reviewed,47,Reject,Age penalty -8; Price deviation penalty -45,human_reviewed
L0177,Ashmita,2026-02-21,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0178,Anmol,2026-02-15,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0179,Ashmita,2026-02-21,reviewed,44,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -30,human_reviewed
L0180,Anmol,2026-02-18,reviewed,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12,human_reviewed
L0181,Anmol,2026-02-18,reviewed,55,Review,Price deviation penalty -45,human_reviewed
L0182,Bhawya,2026-02-18,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0183,Aniket,2026-02-15,reviewed,76,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -12,human_reviewed
L0184,Ashmita,2026-02-21,reviewed,58,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -20,human_reviewed
L0185,Aniket,2026-02-18,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0186,Ashmita,2026-02-18,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0187,Ashmita,2026-02-21,reviewed,80,Review,Price deviation penalty -20,human_reviewed
L0188,Anmol,2026-02-21,reviewed,43,Reject,Condition penalty -8; Age penalty -4; Price deviation penalty -45,human_reviewed
L0189,Ashmita,2026-02-18,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0190,Anmol,2026-02-18,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0191,Bhawya,2026-02-18,reviewed,80,Review,Price deviation penalty -20,human_reviewed
L0192,Ashmita,2026-02-15,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0193,Ashmita,2026-02-21,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0194,Aniket,2026-02-21,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0195,Anmol,2026-02-18,reviewed,29,Reject,Condition penalty -18; Age penalty -8; Price deviation penalty -45,human_reviewed
L0196,Bhawya,2026-02-13,reviewed,55,Reject,Price deviation penalty -45,human_reviewed
L0197,Anmol,2026-02-21,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0198,Bhawya,2026-02-21,reviewed,47,Reject,Condition penalty -8; Price deviation penalty -45,human_reviewed
L0199,Aniket,2026-02-15,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0200,Anmol,2026-02-15,reviewed,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12,human_reviewed
L0201,Ashmita,2026-02-18,reviewed,51,Reject,Age penalty -4; Price deviation penalty -45,human_reviewed
L0202,Anmol,2026-02-15,reviewed,76,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -12,human_reviewed
L0203,Ashmita,2026-02-13,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0204,Bhawya,2026-02-13,reviewed,74,Approve,Condition penalty -18; Age penalty -8,human_reviewed
L0205,Anmol,2026-02-18,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0206,Anmol,2026-02-21,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0207,Aniket,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0208,Ashmita,2026-02-18,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0209,Ashmita,2026-02-18,reviewed,70,Approve,Condition penalty -18; Age penalty -12,human_reviewed
L0210,Ashmita,2026-02-13,reviewed,84,Approve,Condition penalty -8; Age penalty -8,human_reviewed
L0211,Anmol,2026-02-15,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0212,Ashmita,2026-02-13,reviewed,70,Approve,Condition penalty -18; Age penalty -12,human_reviewed
L0213,Bhawya,2026-02-21,reviewed,58,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -30,human_reviewed
L0214,Ashmita,2026-02-18,reviewed,80,Review,Price deviation penalty -20,human_reviewed
L0215,Ashmita,2026-02-13,reviewed,62,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -12,human_reviewed
L0216,Ashmita,2026-02-15,reviewed,68,Review,Condition penalty -8; Age penalty -4; Price deviation penalty -20,human_reviewed
L0217,Ashmita,2026-02-13,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0218,Ashmita,2026-02-15,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0219,Bhawya,2026-02-13,reviewed,70,Approve,Condition penalty -18; Age penalty -12,human_reviewed
L0220,Anmol,2026-02-18,reviewed,84,Approve,Condition penalty -8; Age penalty -8,human_reviewed
L0221,Anmol,2026-02-21,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
L0222,Anmol,2026-02-21,reviewed,69,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -5,human_reviewed
L0223,Ashmita,2026-02-18,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0224,Ashmita,2026-02-13,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0225,Anmol,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0226,Anmol,2026-02-15,reviewed,70,Approve,Condition penalty -18; Age penalty -12,human_reviewed
L0227,Bhawya,2026-02-21,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0228,Ashmita,2026-02-13,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0229,Ashmita,2026-02-13,reviewed,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20,human_reviewed
L0230,Ashmita,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0231,Ashmita,2026-02-21,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0232,Bhawya,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0233,Anmol,2026-02-21,reviewed,70,Approve,Condition penalty -18; Age penalty -12,human_reviewed
L0234,Anmol,2026-02-15,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0235,Anmol,2026-02-21,reviewed,84,Approve,Condition penalty -8; Age penalty -8,human_reviewed
L0236,Bhawya,2026-02-15,reviewed,74,Approve,Condition penalty -18; Age penalty -8,human_reviewed
L0237,Ashmita,2026-02-18,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0238,Anmol,2026-02-18,reviewed,88,Approve,Price deviation penalty -12,human_reviewed
L0239,Ashmita,2026-02-18,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0240,Ashmita,2026-02-21,reviewed,69,Review,Condition penalty -18; Age penalty -8; Price deviation penalty -5,human_reviewed
L0241,Anmol,2026-02-15,reviewed,79,Approve,Condition penalty -8; Age penalty -8; Price deviation penalty -5,human_reviewed
L0242,Anmol,2026-02-21,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0243,Anmol,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0244,Ashmita,2026-02-15,reviewed,74,Approve,Condition penalty -18; Age penalty -8,human_reviewed
L0245,Ashmita,2026-02-15,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0246,Bhawya,2026-02-18,reviewed,95,Approve,Price deviation penalty -5,human_reviewed
L0247,Aniket,2026-02-18,reviewed,83,Approve,Condition penalty -8; Age penalty -4; Price deviation penalty -5,human_reviewed
L0248,Ashmita,2026-02-18,reviewed,65,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -5,human_reviewed
L0249,Anmol,2026-02-21,reviewed,88,Approve,Condition penalty -8; Age penalty -4,human_reviewed
L0250,Ashmita,2026-02-13,reviewed,100,Approve,Within expected quality and pricing tolerance,human_reviewed
