listing_id,brand,category,gender,gender_source,gender_conflict_flag,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,listing_lifecycle_action,age_policy_override_applied,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,final_quality_score_0_100,final_listing_decision,decision_label,effective_listing_decision,effective_decision_label,final_reviewer_note,listing_parent_id,gender_variant_type,gender_policy_override_applied,gender_policy_reason
L0008__G_MEN,Biba,Kurta,Men,user_selected,0,Silk,M,Like New,2,5,2,0,active_current_cycle,0,1499,185,Tier 2,105.5556,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0008,explicit_men_allowed,0,allowed_gender_selection
L0009,Roadster,Jeans,Unisex,category_derived,0,Denim,XL,New,1,2,1,0,active_current_cycle,0,1099,135,Tier 1,125.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0009,base,0,allowed_gender_selection
L0009__G_WOMEN,Roadster,Jeans,Women,user_selected,0,Denim,XL,New,1,2,1,0,active_current_cycle,0,1099,135,Tier 1,125.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0009,explicit_women_allowed,0,allowed_gender_selection
L0009__G_MEN,Roadster,Jeans,Men,user_selected,0,Denim,XL,New,1,2,1,0,active_current_cycle,0,1099,135,Tier 1,125.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0009,explicit_men_allowed,0,allowed_gender_selection
L0010,Anita Dongre,Saree,Women,category_derived,0,Silk,M,New,1,3,1,0,active_current_cycle,0,59999,8580,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,L0010,base,0,allowed_gender_selection
L0010__G_MEN,Anita Dongre,Saree,Men,user_selected,1,Silk,M,New,1,3,1,0,active_current_cycle,0,59999,8580,Tier 5,0.0,0,0,0,0,100,Approve,0,Review,1,Within expected quality and pricing tolerance,L0010,explicit_men_conflict,1,gender_category_conflict_review
L0011,Easybuy,Top,Women,category_derived,0,Polyester,S,Like New,2,3,1,0,active_current_cycle,0,499,60,Tier 1,100.0,8,0,45,53,47,Reject,2,Reject,2,Condition penalty -8; Price deviation penalty -45,L0011,base,0,allowed_gender_selection
L0011__G_MEN,Easybuy,Top,Men,user_selected,1,Polyester,S,Like New,2,3,1,0,active_current_cycle,0,499,60,Tier 1,100.0,8,0,45,53,47,Reject,2,Reject,2,Condition penalty -8; Price deviation penalty -45,L0011,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0012,Manyavar,Ethnic Wear,Unisex,category_derived,0,Silk,XL,New,1,2,1,0,active_current_cycle,0,5499,785,Tier 4,12.1429,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12,L0012,base,0,allowed_gender_selection
L0012__G_WOMEN,Manyavar,Ethnic Wear,Women,user_selected,0,Silk,XL,New,1,2,1,0,active_current_cycle,0,5499,785,Tier 4,12.1429,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12,L0012,explicit_women_allowed,0,allowed_gender_selection
L0012__G_MEN,Manyavar,Ethnic Wear,Men,user_selected,0,Silk,XL,New,1,2,1,0,active_current_cycle,0,5499,785,Tier 4,12.1429,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12,L0012,explicit_men_allowed,0,allowed_gender_selection
L0013,GAP,Jeans,Unisex,category_derived,0,Denim,L,Used,3,11,4,1,needs_reapproval_or_removal,0,5999,515,Tier 4,71.6667,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45,L0013,base,0,allowed_gender_selection
L0013__G_WOMEN,GAP,Jeans,Women,user_selected,0,Denim,L,Used,3,11,4,1,needs_reapproval_or_removal,0,5999,515,Tier 4,71.6667,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45,L0013,explicit_women_allowed,0,allowed_gender_selection
L0013__G_MEN,GAP,Jeans,Men,user_selected,0,Denim,L,Used,3,11,4,1,needs_reapproval_or_removal,0,5999,515,Tier 4,71.6667,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45,L0013,explicit_men_allowed,0,allowed_gender_selection
L0014,Fabindia,Kurta,Unisex,category_derived,0,Silk,M,Used,3,7,3,0,active_current_cycle,0,2999,280,Tier 3,75.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0014,base,0,allowed_gender_selection
L0014__G_WOMEN,Fabindia,Kurta,Women,user_selected,0,Silk,M,Used,3,7,3,0,active_current_cycle,0,2999,280,Tier 3,75.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0014,explicit_women_allowed,0,allowed_gender_selection
L0014__G_MEN,Fabindia,Kurta,Men,user_selected,0,Silk,M,Used,3,7,3,0,active_current_cycle,0,2999,280,Tier 3,75.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0014,explicit_men_allowed,0,allowed_gender_selection
L0015,Prada,Dress,Women,category_derived,0,Silk,S,Like New,2,4,2,0,active_current_cycle,0,95000,11650,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4,L0015,base,0,allowed_gender_selection
L0015__G_MEN,Prada,Dress,Men,user_selected,1,Silk,S,Like New,2,4,2,0,active_current_cycle,0,95000,11650,Tier 5,0.0,8,4,0,12,88,Approve,0,Review,1,Condition penalty -8; Age penalty -4,L0015,explicit_men_conflict,1,gender_category_conflict_review
L0016,HRX,Activewear,Unisex,category_derived,0,Polyester,XS,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0016,base,0,allowed_gender_selection
L0016__G_WOMEN,HRX,Activewear,Women,user_selected,0,Polyester,XS,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0016,explicit_women_allowed,0,allowed_gender_selection
L0016__G_MEN,HRX,Activewear,Men,user_selected,0,Polyester,XS,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0016,explicit_men_allowed,0,allowed_gender_selection
L0017,Sabyasachi,Saree,Women,category_derived,0,Silk,L,New,1,2,1,0,active_current_cycle,0,145000,19800,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance,L0017,base,0,allowed_gender_selection
L0017__G_MEN,Sabyasachi,Saree,Men,user_selected,1,Silk,L,New,1,2,1,0,active_current_cycle,0,145000,19800,Tier 5,0.0,0,0,0,0,100,Approve,0,Review,1,Within expected quality and pricing tolerance,L0017,explicit_men_conflict,1,gender_category_conflict_review
L0018,Moda Rapido,Dress,Women,category_derived,0,Polyester,S,New,1,1,1,0,active_current_cycle,0,1099,160,Tier 1,128.5714,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0018,base,0,allowed_gender_selection
L0018__G_MEN,Moda Rapido,Dress,Men,user_selected,1,Polyester,S,New,1,1,1,0,active_current_cycle,0,1099,160,Tier 1,128.5714,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0018,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0019,Bewakoof,Top,Women,category_derived,0,Cotton,S,New,1,2,1,0,active_current_cycle,0,899,110,Tier 1,120.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0019,base,0,allowed_gender_selection
L0019__G_MEN,Bewakoof,Top,Men,user_selected,1,Cotton,S,New,1,2,1,0,active_current_cycle,0,899,110,Tier 1,120.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0019,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0020,Marks & Spencer,Shirt,Unisex,category_derived,0,Linen,L,Like New,2,5,2,0,active_current_cycle,0,3499,525,Tier 3,110.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0020,base,0,allowed_gender_selection
L0020__G_WOMEN,Marks & Spencer,Shirt,Women,user_selected,0,Linen,L,Like New,2,5,2,0,active_current_cycle,0,3499,525,Tier 3,110.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0020,explicit_women_allowed,0,allowed_gender_selection
L0020__G_MEN,Marks & Spencer,Shirt,Men,user_selected,0,Linen,L,Like New,2,5,2,0,active_current_cycle,0,3499,525,Tier 3,110.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0020,explicit_men_allowed,0,allowed_gender_selection
L0021,Tarun Tahiliani,Saree,Women,category_derived,0,Silk,M,Like New,2,6,2,0,active_current_cycle,0,69999,8850,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4,L0021,base,0,allowed_gender_selection
L0021__G_MEN,Tarun Tahiliani,Saree,Men,user_selected,1,Silk,M,Like New,2,6,2,0,active_current_cycle,0,69999,8850,Tier 5,0.0,8,4,0,12,88,Approve,0,Review,1,Condition penalty -8; Age penalty -4,L0021,explicit_men_conflict,1,gender_category_conflict_review
L0022,Mufti,Shirt,Unisex,category_derived,0,Linen,L,Used,3,10,4,1,needs_reapproval_or_removal,0,3099,265,Tier 3,65.625,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45,L0022,base,0,allowed_gender_selection
L0022__G_WOMEN,Mufti,Shirt,Women,user_selected,0,Linen,L,Used,3,10,4,1,needs_reapproval_or_removal,0,3099,265,Tier 3,65.625,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45,L0022,explicit_women_allowed,0,allowed_gender_selection
L0022__G_MEN,Mufti,Shirt,Men,user_selected,0,Linen,L,Used,3,10,4,1,needs_reapproval_or_removal,0,3099,265,Tier 3,65.625,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45,L0022,explicit_men_allowed,0,allowed_gender_selection
L0023,Libas,Kurta,Unisex,category_derived,0,Cotton,S,New,1,4,2,0,active_current_cycle,0,899,100,Tier 1,100.0,0,4,45,49,51,Reject,2,Reject,2,Age penalty -4; Price deviation penalty -45,L0023,base,0,allowed_gender_selection
L0023__G_WOMEN,Libas,Kurta,Women,user_selected,0,Cotton,S,New,1,4,2,0,active_current_cycle,0,899,100,Tier 1,100.0,0,4,45,49,51,Reject,2,Reject,2,Age penalty -4; Price deviation penalty -45,L0023,explicit_women_allowed,0,allowed_gender_selection
L0023__G_MEN,Libas,Kurta,Men,user_selected,0,Cotton,S,New,1,4,2,0,active_current_cycle,0,899,100,Tier 1,100.0,0,4,45,49,51,Reject,2,Reject,2,Age penalty -4; Price deviation penalty -45,L0023,explicit_men_allowed,0,allowed_gender_selection
L0024,Anouk,Saree,Women,category_derived,0,Silk,M,New,1,3,1,0,active_current_cycle,0,1999,285,Tier 2,78.125,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0024,base,0,allowed_gender_selection
L0024__G_MEN,Anouk,Saree,Men,user_selected,1,Silk,M,New,1,3,1,0,active_current_cycle,0,1999,285,Tier 2,78.125,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0024,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0025,Flying Machine,Jeans,Unisex,category_derived,0,Denim,L,Like New,2,4,2,0,active_current_cycle,0,1499,185,Tier 2,131.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0025,base,0,allowed_gender_selection
L0025__G_WOMEN,Flying Machine,Jeans,Women,user_selected,0,Denim,L,Like New,2,4,2,0,active_current_cycle,0,1499,185,Tier 2,131.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0025,explicit_women_allowed,0,allowed_gender_selection
L0025__G_MEN,Flying Machine,Jeans,Men,user_selected,0,Denim,L,Like New,2,4,2,0,active_current_cycle,0,1499,185,Tier 2,131.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0025,explicit_men_allowed,0,allowed_gender_selection
L0026,Global Desi,Saree,Women,category_derived,0,Silk,S,Like New,2,6,2,0,active_current_cycle,0,2499,330,Tier 2,106.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0026,base,0,allowed_gender_selection
L0026__G_MEN,Global Desi,Saree,Men,user_selected,1,Silk,S,Like New,2,6,2,0,active_current_cycle,0,2499,330,Tier 2,106.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0026,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0027,Pantaloons,Jeans,Unisex,category_derived,0,Denim,S,Used,3,9,3,0,active_current_cycle,0,1099,95,Tier 1,137.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0027,base,0,allowed_gender_selection
L0027__G_WOMEN,Pantaloons,Jeans,Women,user_selected,0,Denim,S,Used,3,9,3,0,active_current_cycle,0,1099,95,Tier 1,137.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0027,explicit_women_allowed,0,allowed_gender_selection
L0027__G_MEN,Pantaloons,Jeans,Men,user_selected,0,Denim,S,Used,3,9,3,0,active_current_cycle,0,1099,95,Tier 1,137.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0027,explicit_men_allowed,0,allowed_gender_selection
L0028,Indya,Jacket,Unisex,category_derived,0,Denim,L,Like New,2,5,2,0,active_current_cycle,0,1299,145,Tier 2,81.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0028,base,0,allowed_gender_selection
L0028__G_WOMEN,Indya,Jacket,Women,user_selected,0,Denim,L,Like New,2,5,2,0,active_current_cycle,0,1299,145,Tier 2,81.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0028,explicit_women_allowed,0,allowed_gender_selection
L0028__G_MEN,Indya,Jacket,Men,user_selected,0,Denim,L,Like New,2,5,2,0,active_current_cycle,0,1299,145,Tier 2,81.25,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0028,explicit_men_allowed,0,allowed_gender_selection
L0029,Zara,Jacket,Unisex,category_derived,0,Denim,M,Used,3,8,3,0,active_current_cycle,0,4999,475,Tier 3,90.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0029,base,0,allowed_gender_selection
L0029__G_WOMEN,Zara,Jacket,Women,user_selected,0,Denim,M,Used,3,8,3,0,active_current_cycle,0,4999,475,Tier 3,90.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0029,explicit_women_allowed,0,allowed_gender_selection
L0029__G_MEN,Zara,Jacket,Men,user_selected,0,Denim,M,Used,3,8,3,0,active_current_cycle,0,4999,475,Tier 3,90.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0029,explicit_men_allowed,0,allowed_gender_selection
L0030,H&M,Dress,Women,category_derived,0,Cotton,S,Used,3,9,3,0,active_current_cycle,0,1199,105,Tier 1,162.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0030,base,0,allowed_gender_selection
L0030__G_MEN,H&M,Dress,Men,user_selected,1,Cotton,S,Used,3,9,3,0,active_current_cycle,0,1199,105,Tier 1,162.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45,L0030,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0031,Suta,Saree,Women,category_derived,0,Silk,M,New,1,1,1,0,active_current_cycle,0,2999,430,Tier 3,43.3333,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,L0031,base,0,allowed_gender_selection
L0031__G_MEN,Suta,Saree,Men,user_selected,1,Silk,M,New,1,1,1,0,active_current_cycle,0,2999,430,Tier 3,43.3333,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30,L0031,explicit_men_conflict,1,gender_category_conflict_review
L0032,Uniqlo,Jacket,Unisex,category_derived,0,Polyester,M,Like New,2,5,2,0,active_current_cycle,0,1999,220,Tier 2,83.3333,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0032,base,0,allowed_gender_selection
L0032__G_WOMEN,Uniqlo,Jacket,Women,user_selected,0,Polyester,M,Like New,2,5,2,0,active_current_cycle,0,1999,220,Tier 2,83.3333,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0032,explicit_women_allowed,0,allowed_gender_selection
L0032__G_MEN,Uniqlo,Jacket,Men,user_selected,0,Polyester,M,Like New,2,5,2,0,active_current_cycle,0,1999,220,Tier 2,83.3333,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45,L0032,explicit_men_allowed,0,allowed_gender_selection
L0033,Forever 21,Dress,Women,category_derived,0,Polyester,S,New,1,2,1,0,active_current_cycle,0,1299,175,Tier 2,75.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0033,base,0,allowed_gender_selection
L0033__G_MEN,Forever 21,Dress,Men,user_selected,1,Polyester,S,New,1,2,1,0,active_current_cycle,0,1299,175,Tier 2,75.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0033,explicit_men_conflict,0,gender_conflict_but_reject_already_applied
L0034,Max Fashion,Jeans,Unisex,category_derived,0,Denim,M,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0034,base,0,allowed_gender_selection
L0034__G_WOMEN,Max Fashion,Jeans,Women,user_selected,0,Denim,M,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0034,explicit_women_allowed,0,allowed_gender_selection
L0034__G_MEN,Max Fashion,Jeans,Men,user_selected,0,Denim,M,New,1,3,1,0,active_current_cycle,0,999,120,Tier 1,100.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0034,explicit_men_allowed,0,allowed_gender_selection
L0035,Highlander,Shirt,Unisex,category_derived,0,Cotton,M,New,1,3,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0035,base,0,allowed_gender_selection
L0035__G_WOMEN,Highlander,Shirt,Women,user_selected,0,Cotton,M,New,1,3,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0035,explicit_women_allowed,0,allowed_gender_selection
L0035__G_MEN,Highlander,Shirt,Men,user_selected,0,Cotton,M,New,1,3,1,0,active_current_cycle,0,999,125,Tier 1,108.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45,L0035,explicit_men_allowed,0,allowed_gender_selection
L0036,Jaypore,Saree,Women,category_derived,0,Silk,M,Like New,2,6,2,0,active_current_cycle,0,8999,1150,Tier 4,21.0526,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20,L0036,base,0,allowed_gender_selection
L0036__G_MEN,Jaypore,Saree,Men,user_selected,1,Silk,M,Like New,2,6,2,0,active_current_cycle,0,8999,1150,Tier 4,21.0526,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20,L0036,explicit_men_conflict,1,gender_category_conflict_review
L0037,Louis Vuitton,Shirt,Unisex,category_derived,0,Linen,XS,Like New,2,5,2,0,active_current_cycle,0,70499,8550,Tier 5,4.2683,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,L0037,base,0,allowed_gender_selection
L0037__G_WOMEN,Louis Vuitton,Shirt,Women,user_selected,0,Linen,XS,Like New,2,5,2,0,active_current_cycle,0,70499,8550,Tier 5,4.2683,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,L0037,explicit_women_allowed,0,allowed_gender_selection
L0037__G_MEN,Louis Vuitton,Shirt,Men,user_selected,0,Linen,XS,Like New,2,5,2,0,active_current_cycle,0,70499,8550,Tier 5,4.2683,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5,L0037,explicit_men_allowed,0,allowed_gender_selection
L0038,Armani,Jacket,Unisex,category_derived,0,Leather,S,Used,3,11,4,1,needs_reapproval_or_removal,0,45459,4150,Tier 5,22.0588,18,12,20,50,50,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -20,L0038,base,0,allowed_gender_selection
