listing_id,source_listing_id,data_source,brand,category,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,rule_quality_score,rule_decision,auto_suggested_quality_score_0_100,auto_suggested_listing_decision,age_policy_applied_to_suggestion,high_deviation_flag,used_flag,premium_tier_flag,borderline_flag,priority_score,selection_reason,review_batch,review_status,reviewer_name,review_date,final_quality_score_0_100,final_listing_decision,final_reviewer_note,label_source
L0764,L0114,synthetic,GAP,Jeans,Denim,L,Used,3,15,4,1,6391,828,Tier 4,136.5714,18,16,45,79,21,Reject,21,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,21,Reject,Condition penalty -18; Age penalty -16; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0771,L0093,synthetic,Prada,Dress,Silk,M,Used,3,10,4,1,84699,20375,Tier 5,179.1096,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0864,L0097,synthetic,Sabyasachi,Lehenga,Silk,L,Used,3,12,4,1,52176,18784,Tier 5,358.1463,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0890,L0114,synthetic,GAP,Jeans,Denim,L,Used,3,11,4,1,5573,2007,Tier 4,569,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0903,L0022,synthetic,Mufti,Shirt,Linen,L,Used,3,12,4,1,3026,191,Tier 3,36.4286,18,12,30,60,40,Review,40,Review,0,1,1,0,1,10,older_listing_10plus|high_deviation_over_35|used_condition|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L1022,L0219,synthetic,Global Desi,Dress,Linen,XS,Used,3,11,4,1,4761,115,Tier 3,36.1111,18,12,30,60,40,Review,40,Review,0,1,1,0,1,10,older_listing_10plus|high_deviation_over_35|used_condition|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,40,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -30; Older listing: needs reapproval/removal,human_reviewed
L1049,L0323,synthetic,Rohit Bal,Ethnic Wear,Silk,S,Used,3,10,4,1,26648,9594,Tier 5,299.75,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L1063,L0248,synthetic,Under Armour,Activewear,Polyester,L,Used,3,13,4,1,10168,1391,Tier 4,178.2,18,16,45,79,21,Reject,21,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,21,Reject,Condition penalty -18; Age penalty -16; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L1210,L0233,synthetic,Meena Bazaar,Ethnic Wear,Silk,S,Used,3,10,4,1,9423,1641,Tier 4,152.4615,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L1289,L0316,synthetic,Fabindia,Kurta,Linen,S,Used,3,12,4,1,8711,946,Tier 4,89.2,18,12,45,75,25,Reject,25,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,25,Reject,Condition penalty -18; Age penalty -12; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L1455,L0373,synthetic,Tarun Tahiliani,Lehenga,Silk,L,Used,3,15,4,1,31765,4925,Tier 5,97,18,16,45,79,21,Reject,21,Reject,0,1,1,1,0,10,older_listing_10plus|high_deviation_over_35|used_condition|premium_tier_4_or_5,batch_01,reviewed,Anmol,3/13/26,21,Reject,Condition penalty -18; Age penalty -16; Price deviation penalty -45; Older listing: needs reapproval/removal,human_reviewed
L0401,L0373,synthetic,Tarun Tahiliani,Lehenga,Silk,S,Used,3,16,4,1,27020,1067,Tier 5,23.7857,18,16,20,54,46,Review,46,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,46,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0410,L0038,synthetic,Armani,Jacket,Leather,S,Used,3,13,4,1,52230,3425,Tier 5,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0416,L0080,synthetic,Anita Dongre,Ethnic Wear,Silk,M,Used,3,14,4,1,21370,1599,Tier 5,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0434,L0369,synthetic,Tommy Hilfiger,Shirt,Cotton,XL,Used,3,13,4,1,10504,479,Tier 4,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0439,L0240,synthetic,Marks & Spencer,Dress,Cotton,XS,Used,3,10,4,1,8384,385,Tier 4,14.4444,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0458,L0248,synthetic,Under Armour,Activewear,Polyester,L,Used,3,13,4,1,10727,516,Tier 4,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0525,L0160,synthetic,Calvin Klein,Jacket,Denim,M,Used,3,11,4,1,7373,274,Tier 4,21.7143,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0528,L0180,synthetic,Louis Vuitton,Jacket,Leather,M,Used,3,14,4,1,158622,11389,Tier 5,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0540,L0320,synthetic,Diesel,Jeans,Denim,S,Used,3,14,4,1,11485,806,Tier 4,34.3333,18,16,20,54,46,Review,46,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,46,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0557,L0293,synthetic,GAP,Jeans,Denim,XL,Used,3,12,4,1,8061,228,Tier 4,34.8571,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0587,L0038,synthetic,Armani,Jacket,Leather,S,Used,3,11,4,1,45527,3930,Tier 5,15.5882,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0593,L0296,synthetic,Raw Mango,Saree,Silk,M,Used,3,4,2,0,19850,2738,Tier 5,36.9,18,4,30,52,48,Review,48,Review,0,1,1,1,1,9,high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,48,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -30,human_reviewed
L0599,L0296,synthetic,Raw Mango,Saree,Silk,M,Used,3,4,2,0,20291,2869,Tier 5,36.619,18,4,30,52,48,Review,48,Review,0,1,1,1,1,9,high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,48,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -30,human_reviewed
L0600,L0255,synthetic,Sabyasachi,Saree,Silk,S,Used,3,11,4,1,28525,2066,Tier 5,0,18,12,0,30,70,Approve,70,Review,1,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,70,Review,Condition penalty -18; Age penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0655,L0061,synthetic,Gucci,Jacket,Leather,M,Used,3,10,4,1,113460,5921,Tier 5,23.1039,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0656,L0123,synthetic,Sabyasachi,Lehenga,Silk,L,Used,3,12,4,1,52305,4892,Tier 5,19.3171,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0678,L0339,synthetic,Flying Machine,Jeans,Denim,M,Used,3,15,4,1,5477,201,Tier 4,19.6,18,16,12,46,54,Review,54,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,54,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0692,L0038,synthetic,Armani,Jacket,Leather,S,Used,3,13,4,1,44923,4326,Tier 5,27.2353,18,16,20,54,46,Review,46,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,46,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0697,L0013,synthetic,GAP,Jeans,Denim,L,Used,3,11,4,1,6837,346,Tier 4,0,18,12,0,30,70,Approve,70,Review,1,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,70,Review,Condition penalty -18; Age penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0701,L0095,synthetic,Neeru's,Ethnic Wear,Silk,M,Used,3,10,4,1,13317,603,Tier 4,24.625,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0710,L0252,synthetic,Superdry,Jacket,Polyester,M,Used,3,10,4,1,9714,399,Tier 4,20.2,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0732,L0316,synthetic,Fabindia,Kurta,Linen,S,Used,3,13,4,1,9201,463,Tier 4,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0738,L0080,synthetic,Anita Dongre,Ethnic Wear,Silk,S,Used,3,11,4,1,21177,1031,Tier 5,20.6923,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0785,L0046,synthetic,Calvin Klein,Jacket,Denim,S,Used,3,10,4,1,7492,596,Tier 4,19.2,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0808,L0252,synthetic,Superdry,Jacket,Polyester,L,Used,3,10,4,1,10092,777,Tier 4,19.5385,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0818,L0347,synthetic,Anita Dongre,Lehenga,Silk,M,Used,3,14,4,1,21783,2171,Tier 5,27.7059,18,16,20,54,46,Review,46,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,46,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0841,L0317,synthetic,Mango,Dress,Linen,M,Used,3,4,2,0,9637,947,Tier 4,35.2857,18,4,30,52,48,Review,48,Review,0,1,1,1,1,9,high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,48,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -30,human_reviewed
L0859,L0001,synthetic,Sabyasachi,Ethnic Wear,Silk,XS,Used,3,6,2,0,100829,14277,Tier 5,38.6117,18,4,30,52,48,Review,48,Review,0,1,1,1,1,9,high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,48,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -30,human_reviewed
L0867,L0248,synthetic,Under Armour,Activewear,Polyester,M,Used,3,14,4,1,11311,553,Tier 4,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0872,L0350,synthetic,Prada,Dress,Silk,S,Used,3,13,4,1,32753,2051,Tier 5,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0888,L0038,synthetic,Armani,Jacket,Leather,S,Used,3,13,4,1,49662,3343,Tier 5,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L0905,L0135,synthetic,Zara,Jacket,Denim,M,Used,3,10,4,1,5393,221,Tier 4,26.3333,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0911,L0369,synthetic,Tommy Hilfiger,Shirt,Cotton,M,Used,3,13,4,1,9483,327,Tier 4,18.25,18,16,12,46,54,Review,54,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,54,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0941,L0317,synthetic,Mango,Dress,Linen,M,Used,3,10,4,1,10720,904,Tier 4,29.1429,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0951,L0154,synthetic,Manish Malhotra,Lehenga,Silk,M,Used,3,12,4,1,79004,4016,Tier 5,18.0408,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L0955,L0117,synthetic,Anita Dongre,Lehenga,Silk,S,Used,3,13,4,1,18567,1994,Tier 5,32.9333,18,16,20,54,46,Review,46,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,46,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0963,L0247,synthetic,Asics,Activewear,Polyester,M,Used,3,10,4,1,8668,318,Tier 4,20.5,18,12,20,50,50,Review,50,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,50,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L0969,L0373,synthetic,Tarun Tahiliani,Lehenga,Silk,S,Used,3,10,4,1,29385,2367,Tier 5,0,18,12,0,30,70,Approve,70,Review,1,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,70,Review,Condition penalty -18; Age penalty -12; Older listing: needs reapproval/removal,human_reviewed
L1007,L0229,synthetic,Jaypore,Saree,Silk,S,Used,3,14,4,1,8460,485,Tier 4,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L1012,L0080,synthetic,Anita Dongre,Ethnic Wear,Silk,S,Used,3,14,4,1,21053,1513,Tier 5,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L1110,L0006,synthetic,Louis Vuitton,Jacket,Leather,M,Used,3,14,4,1,148656,13646,Tier 5,21.8393,18,16,20,54,46,Review,46,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,46,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -20; Older listing: needs reapproval/removal,human_reviewed
L1120,L0373,synthetic,Tarun Tahiliani,Lehenga,Silk,L,Used,3,14,4,1,28530,2654,Tier 5,15.3913,18,16,12,46,54,Review,54,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,54,Review,Condition penalty -18; Age penalty -16; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L1130,L0219,synthetic,Global Desi,Dress,Linen,S,Used,3,15,4,1,5528,255,Tier 4,0,18,16,0,34,66,Review,66,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,66,Review,Condition penalty -18; Age penalty -16; Older listing: needs reapproval/removal,human_reviewed
L1140,L0235,synthetic,Label Ritu Kumar,Ethnic Wear,Silk,L,Used,3,10,4,1,11434,671,Tier 4,0,18,12,0,30,70,Approve,70,Review,1,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,70,Review,Condition penalty -18; Age penalty -12; Older listing: needs reapproval/removal,human_reviewed
L1145,L0114,synthetic,GAP,Jeans,Denim,XS,Used,3,10,4,1,6734,261,Tier 4,13,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L1157,L0273,synthetic,Fabindia,Kurta,Linen,XL,Used,3,12,4,1,7433,290,Tier 4,17.1429,18,12,12,42,58,Review,58,Review,0,0,1,1,1,9,older_listing_10plus|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,58,Review,Condition penalty -18; Age penalty -12; Price deviation penalty -12; Older listing: needs reapproval/removal,human_reviewed
L1172,L0143,synthetic,Prada,Dress,Silk,M,Used,3,6,2,0,75520,3519,Tier 5,39.3276,18,4,30,52,48,Review,48,Review,0,1,1,1,1,9,high_deviation_over_35|used_condition|premium_tier_4_or_5|borderline_review_case,batch_01,reviewed,Anmol,3/13/26,48,Review,Condition penalty -18; Age penalty -4; Price deviation penalty -30,human_reviewed
