listing_id,source_listing_id,data_source,brand,category,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,listing_lifecycle_action,age_policy_override_applied,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,final_quality_score_0_100,final_listing_decision,decision_label,effective_listing_decision,effective_decision_label,final_reviewer_note
L0078,L0078,manual,Nicobar,Dress,Linen,S,New,1,3,1,0,active_current_cycle,0,7999,925,Tier 4,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0079,L0079,manual,American Eagle,Jeans,Denim,XS,Used,3,8,3,0,active_current_cycle,0,8499,730,Tier 4,46.0,18,8,30,56,44,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -30
L0080,L0080,manual,Anita Dongre,Ethnic Wear,Silk,S,Like New,2,10,4,1,needs_reapproval_or_removal,1,19499,2350,Tier 5,2.1739,8,12,5,25,75,Approve,0,Review,1,Condition penalty -8; Age penalty -12; Price deviation penalty -5
L0081,L0081,manual,FBB,Kurta,Cotton,M,Used,3,9,3,0,active_current_cycle,0,999,100,Tier 1,233.3333,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0082,L0082,manual,Aurelia,Ethnic Wear,Cotton,M,Used,3,6,2,0,active_current_cycle,0,1199,150,Tier 1,200.0,18,4,45,67,33,Reject,2,Reject,2,Condition penalty -18; Age penalty -4; Price deviation penalty -45
L0083,L0083,manual,Bewakoof,Top,Polyester,XS,Like New,2,5,2,0,active_current_cycle,0,799,110,Tier 1,175.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0084,L0084,manual,Style Bazaar,Top,Polyester,XL,Used,3,8,3,0,active_current_cycle,0,299,30,Tier 1,200.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0085,L0085,manual,Rangriti,Kurta,Cotton,M,New,1,3,1,0,active_current_cycle,0,699,90,Tier 1,125.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0086,L0086,manual,Flying Machine,Jeans,Denim,L,Used,3,9,3,0,active_current_cycle,0,3199,420,Tier 3,180.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0087,L0087,manual,Mufti,Shirt,Linen,M,Used,3,11,4,1,needs_reapproval_or_removal,0,3499,300,Tier 3,87.5,18,12,45,75,25,Reject,2,Reject,2,Condition penalty -18; Age penalty -12; Price deviation penalty -45
L0088,L0088,manual,Suta,Saree,Linen,M,Like New,2,6,2,0,active_current_cycle,0,3499,440,Tier 3,46.6667,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0089,L0089,manual,H&M,Dress,Silk,S,Like New,2,6,2,0,active_current_cycle,0,1499,180,Tier 2,100.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0090,L0090,manual,Zara,Dress,Linen,S,New,1,2,1,0,active_current_cycle,0,6990,1050,Tier 4,23.5294,0,0,20,20,80,Review,1,Review,1,Price deviation penalty -20
L0091,L0091,manual,Forever 21,Top,Cotton,S,Like New,2,5,2,0,active_current_cycle,0,1500,225,Tier 2,150.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0092,L0092,manual,Highlander,Top,Cotton,XL,Like New,2,2,1,0,active_current_cycle,0,599,80,Tier 1,166.6667,8,0,45,53,47,Reject,2,Reject,2,Condition penalty -8; Price deviation penalty -45
L0093,L0093,manual,Prada,Dress,Silk,M,Like New,2,8,3,0,active_current_cycle,0,75499,8250,Tier 5,0.0,8,8,0,16,84,Approve,0,Approve,0,Condition penalty -8; Age penalty -8
L0094,L0094,manual,Soch,Ethnic Wear,Silk,S,Like New,2,4,2,0,active_current_cycle,0,1499,205,Tier 2,105.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0095,L0095,manual,Neeru's,Ethnic Wear,Silk,M,Like New,2,7,3,0,active_current_cycle,0,14999,1850,Tier 4,32.1429,8,8,20,36,64,Review,1,Review,1,Condition penalty -8; Age penalty -8; Price deviation penalty -20
L0096,L0096,manual,Meena Bazaar,Ethnic Wear,Silk,S,New,1,4,2,0,active_current_cycle,0,12999,1720,Tier 4,14.6667,0,4,12,16,84,Approve,0,Approve,0,Age penalty -4; Price deviation penalty -12
L0097,L0097,manual,Sabyasachi,Lehenga,Silk,L,Like New,2,8,3,0,active_current_cycle,0,51999,7150,Tier 5,17.2131,8,8,12,28,72,Approve,0,Approve,0,Condition penalty -8; Age penalty -8; Price deviation penalty -12
L0098,L0098,manual,Rohit Bal,Ethnic Wear,Silk,L,Like New,2,5,2,0,active_current_cycle,0,49999,6350,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0099,L0099,manual,W for Woman,Ethnic Wear,Silk,S,Used,3,7,3,0,active_current_cycle,0,1199,135,Tier 1,170.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0100,L0100,manual,Armani,Ethnic Wear,Polyester,L,New,1,2,1,0,active_current_cycle,0,85000,12100,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0101,L0101,manual,Rangriti,Kurta,Cotton,M,New,1,3,1,0,active_current_cycle,0,699,65,Tier 1,62.5,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0102,L0102,manual,Style Bazaar,Top,Polyester,XL,Used,3,8,3,0,active_current_cycle,0,299,20,Tier 1,100.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0103,L0103,manual,Soch,Ethnic Wear,Cotton,XS,Used,3,9,3,0,active_current_cycle,0,799,35,Tier 1,16.6667,18,8,12,38,62,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -12
L0104,L0104,manual,AND,Dress,Cotton,M,Like New,2,5,2,0,active_current_cycle,0,4999,510,Tier 3,27.5,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0105,L0105,manual,House of Masaba,Saree,Silk,M,Like New,2,7,3,0,active_current_cycle,0,13499,1500,Tier 4,25.0,8,8,20,36,64,Review,1,Review,1,Condition penalty -8; Age penalty -8; Price deviation penalty -20
L0106,L0106,manual,Nicobar,Dress,Linen,S,New,1,3,1,0,active_current_cycle,0,7999,1000,Tier 4,5.2632,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0107,L0107,manual,Zara,Dress,Linen,L,New,1,2,1,0,active_current_cycle,0,9999,1320,Tier 4,10.0,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0108,L0108,manual,Armani,Jacket,Leather,S,Used,3,11,4,1,needs_reapproval_or_removal,0,45459,3700,Tier 5,8.8235,18,12,5,35,65,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -5
L0109,L0109,manual,Zudio,Top,Cotton,S,Like New,2,4,2,0,active_current_cycle,0,599,40,Tier 1,33.3333,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0110,L0110,manual,Easybuy,Shirt,Polyester,M,Used,3,8,3,0,active_current_cycle,0,699,40,Tier 1,100.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0111,L0111,manual,W for Woman,Saree,Silk,M,New,1,2,1,0,active_current_cycle,0,2499,330,Tier 2,65.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0112,L0112,manual,Zudio,Shirt,Cotton,M,New,1,1,1,0,active_current_cycle,0,399,30,Tier 1,50.0,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0113,L0113,manual,Easybuy,Top,Polyester,S,Like New,2,3,1,0,active_current_cycle,0,499,35,Tier 1,16.6667,8,0,12,20,80,Approve,0,Approve,0,Condition penalty -8; Price deviation penalty -12
L0114,L0114,manual,GAP,Jeans,Denim,L,Used,3,11,4,1,needs_reapproval_or_removal,0,5999,335,Tier 4,11.6667,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12
L0115,L0115,manual,American Eagle,Jeans,Denim,XS,Used,3,8,3,0,active_current_cycle,0,8499,550,Tier 4,10.0,18,8,5,31,69,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -5
L0116,L0116,manual,Under Armour,Activewear,Polyester,M,New,1,3,1,0,active_current_cycle,0,6999,800,Tier 4,6.6667,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0117,L0117,manual,Anita Dongre,Lehenga,Silk,S,Like New,2,10,4,1,needs_reapproval_or_removal,1,19499,1950,Tier 5,0.0,8,12,0,20,80,Approve,0,Review,1,Condition penalty -8; Age penalty -12
L0118,L0118,manual,FBB,Kurta,Cotton,M,Used,3,9,3,0,active_current_cycle,0,999,50,Tier 1,66.6667,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0119,L0119,manual,Pantaloons,Jeans,Denim,L,Like New,2,5,2,0,active_current_cycle,0,1199,80,Tier 1,33.3333,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0120,L0120,manual,Vishal Mega Mart,Shirt,Cotton,L,Used,3,7,3,0,active_current_cycle,0,399,25,Tier 1,150.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0121,L0121,manual,Roadster,Shirt,Cotton,M,New,1,3,1,0,active_current_cycle,0,1099,80,Tier 1,14.2857,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0122,L0122,manual,Libas,Kurta,Cotton,M,Like New,2,4,2,0,active_current_cycle,0,1199,90,Tier 1,50.0,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0123,L0123,manual,Sabyasachi,Lehenga,Silk,L,Like New,2,8,3,0,active_current_cycle,0,51999,6400,Tier 5,4.918,8,8,5,21,79,Approve,0,Approve,0,Condition penalty -8; Age penalty -8; Price deviation penalty -5
L0124,L0124,manual,Gucci,Jacket,Leather,S,New,1,1,1,0,active_current_cycle,0,61999,10200,Tier 5,6.25,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0125,L0125,manual,Max Fashion,Jeans,Denim,M,New,1,3,1,0,active_current_cycle,0,999,70,Tier 1,16.6667,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0126,L0126,manual,Reliance Trends,Top,Cotton,S,Like New,2,6,2,0,active_current_cycle,0,799,50,Tier 1,25.0,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
