listing_id,source_listing_id,data_source,brand,category,material,size,condition,age_months,original_price,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,target_rule_min,target_rule_max,split_set
L0034,L0034,manual,Max Fashion,Jeans,Denim,M,New,3,999,Tier 1,0.05,0.06,1,1,0.95,1,50,60,train
L0035,L0035,manual,Highlander,Shirt,Cotton,M,New,3,999,Tier 1,0.05,0.06,1,1,1,1,50,60,train
L0036,L0036,manual,Jaypore,Saree,Silk,M,Like New,6,8999,Tier 4,0.09,0.11,0.9,0.9,1.1,1.05,750,950,train
L0037,L0037,manual,Louis Vuitton,Shirt,Linen,XS,Like New,5,70499,Tier 5,0.11,0.14,0.9,0.9,1,1.03,6500,8200,val
L0038,L0038,manual,Armani,Jacket,Leather,S,Used,11,45459,Tier 5,0.11,0.14,0.7,0.7,1.05,1.05,2700,3400,val
L0039,L0039,manual,W for Woman,Saree,Silk,M,New,2,2499,Tier 2,0.06,0.07,1,1,1.1,1.05,170,200,test
L0040,L0040,manual,Biba,Dress,Silk,M,Like New,6,5500,Tier 4,0.09,0.11,0.9,0.9,1.05,1.05,450,550,train
L0041,L0041,manual,Global Desi,Ethnic Wear,Silk,M,Like New,5,3999,Tier 3,0.07,0.09,0.9,0.9,1.1,1.05,250,350,train
L0042,L0042,manual,Soch,Ethnic Wear,Silk,S,Like New,4,1499,Tier 2,0.06,0.07,0.9,0.9,1.1,1.05,80,100,train
L0043,L0043,manual,Manish Malhotra,Ethnic Wear,Silk,M,Used,8,79999,Tier 5,0.11,0.14,0.7,0.8,1.1,1.05,5700,7200,train
L0044,L0044,manual,Aurelia,Kurta,Cotton,S,Used,8,999,Tier 1,0.05,0.06,0.7,0.8,1,1,30,30,train
L0045,L0045,manual,Tommy Hilfiger,Shirt,Cotton,L,Like New,6,5999,Tier 4,0.09,0.11,0.9,0.9,1,1,450,550,train
L0046,L0046,manual,Calvin Klein,Jacket,Denim,M,Used,9,7999,Tier 4,0.09,0.11,0.7,0.8,1.05,1,400,500,train
L0047,L0047,manual,Red Tape,Shirt,Linen,S,New,3,899,Tier 1,0.05,0.06,1,1,1,1.03,50,60,val
L0048,L0048,manual,Puma,Activewear,Polyester,M,Used,7,2999,Tier 3,0.07,0.09,0.7,0.8,0.95,1,110,140,val
L0049,L0049,manual,Label Ritu Kumar,Ethnic Wear,Silk,S,New,3,14500,Tier 4,0.09,0.11,1,1,1.1,1.05,1500,1800,test
L0050,L0050,manual,Fabindia,Kurta,Cotton,XL,Used,10,2799,Tier 3,0.07,0.09,0.7,0.8,1,1,110,140,train
L0051,L0051,manual,Prada,Dress,Silk,L,Like New,6,85999,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,8400,10800,train
L0052,L0052,manual,Nalli,Saree,Silk,L,Like New,3,6999,Tier 4,0.09,0.11,0.9,1,1.1,1.05,650,800,train
L0053,L0053,manual,Zudio,Top,Cotton,S,New,2,499,Tier 1,0.05,0.06,1,1,1,1,20,30,train
L0054,L0054,manual,Adidas,Activewear,Polyester,S,Like New,5,3499,Tier 3,0.07,0.09,0.9,0.9,0.95,1,190,250,train
L0055,L0055,manual,Libas,Kurta,Silk,S,New,2,1999,Tier 2,0.06,0.07,1,1,1,1.05,130,150,train
L0056,L0056,manual,Bewakoof,Top,Polyester,S,Used,6,499,Tier 1,0.05,0.06,0.7,0.9,1,1,20,20,train
L0057,L0057,manual,Moda Rapido,Dress,Denim,S,New,1,899,Tier 1,0.05,0.06,1,1,1.05,1,50,60,val
L0058,L0058,manual,Roadster,Shirt,Cotton,M,New,3,1099,Tier 1,0.05,0.06,1,1,1,1,50,70,val
L0059,L0059,manual,Levi's,Jeans,Denim,M,New,2,3999,Tier 3,0.07,0.09,1,1,0.95,1,250,350,test
L0060,L0060,manual,FBB,Ethnic Wear,Cotton,L,New,4,699,Tier 1,0.05,0.06,1,0.9,1.1,1,30,40,train
L0061,L0061,manual,Gucci,Jacket,Leather,M,Like New,6,120000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,11800,15000,train
L0062,L0062,manual,HRX,Activewear,Polyester,M,New,3,2299,Tier 2,0.06,0.07,1,1,0.95,1,130,150,train
L0063,L0063,manual,Skechers,Activewear,Polyester,M,Like New,4,4999,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,350,train
L0064,L0064,manual,Versace,Dress,Silk,M,Like New,5,110000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,10800,13800,train
L0065,L0065,manual,Mufti,Shirt,Linen,M,Like New,4,2899,Tier 3,0.07,0.09,0.9,0.9,1,1.03,170,200,train
L0066,L0066,manual,Reebok,Activewear,Polyester,S,Used,3,2799,Tier 3,0.07,0.09,0.7,1,0.95,1,130,170,train
L0067,L0067,manual,Anouk,Saree,Cotton,S,Used,7,1899,Tier 2,0.06,0.07,0.7,0.8,1.1,1,70,80,val
L0068,L0068,manual,Masaba,Dress,Silk,M,Like New,4,12000,Tier 4,0.09,0.11,0.9,0.9,1.05,1.05,950,1200,val
L0069,L0069,manual,Indya,Jacket,Denim,M,Used,9,1499,Tier 2,0.06,0.07,0.7,0.8,1.05,1,50,60,test
L0070,L0070,manual,Pantaloons,Dress,Cotton,L,Like New,6,2499,Tier 2,0.06,0.07,0.9,0.9,1.05,1,130,150,train
L0071,L0071,manual,Vishal Mega Mart,Kurta,Cotton,L,Like New,5,799,Tier 1,0.05,0.06,0.9,0.9,1,1,30,40,train
L0072,L0072,manual,Zudio,Shirt,Cotton,M,New,1,399,Tier 1,0.05,0.06,1,1,1,1,20,20,train
L0073,L0073,manual,Under Armour,Activewear,Polyester,M,New,3,6999,Tier 4,0.09,0.11,1,1,0.95,1,600,750,train
L0074,L0074,manual,Reliance Trends,Top,Cotton,S,Like New,6,799,Tier 1,0.05,0.06,0.9,0.9,1,1,30,40,train
L0075,L0075,manual,Easybuy,Shirt,Polyester,M,Used,8,699,Tier 1,0.05,0.06,0.7,0.8,1,1,20,20,train
L0076,L0076,manual,House of Masaba,Saree,Silk,M,Like New,7,13499,Tier 4,0.09,0.11,0.9,0.8,1.1,1.05,1000,1200,train
L0077,L0077,manual,AND,Dress,Cotton,M,Like New,5,4999,Tier 3,0.07,0.09,0.9,0.9,1.05,1,300,400,val
L0078,L0078,manual,Nicobar,Dress,Linen,S,New,3,7999,Tier 4,0.09,0.11,1,1,1.05,1.03,800,950,val
L0079,L0079,manual,American Eagle,Jeans,Denim,XS,Used,8,8499,Tier 4,0.09,0.11,0.7,0.8,0.95,1,400,500,test
L0080,L0080,manual,Anita Dongre,Ethnic Wear,Silk,S,Like New,10,19499,Tier 5,0.11,0.14,0.9,0.8,1.1,1.05,1800,2300,train
L0081,L0081,manual,FBB,Kurta,Cotton,M,Used,9,999,Tier 1,0.05,0.06,0.7,0.8,1,1,30,30,train
L0082,L0082,manual,Aurelia,Ethnic Wear,Cotton,M,Used,6,1199,Tier 1,0.05,0.06,0.7,0.9,1.1,1,40,50,train
L0083,L0083,manual,Bewakoof,Top,Polyester,XS,Like New,5,799,Tier 1,0.05,0.06,0.9,0.9,1,1,30,40,train
L0084,L0084,manual,Style Bazaar,Top,Polyester,XL,Used,8,299,Tier 1,0.05,0.06,0.7,0.8,1,1,10,10,train
L0085,L0085,manual,Rangriti,Kurta,Cotton,M,New,3,699,Tier 1,0.05,0.06,1,1,1,1,30,40,train
L0086,L0086,manual,Flying Machine,Jeans,Denim,L,Used,9,3199,Tier 3,0.07,0.09,0.7,0.8,0.95,1,120,150,train
L0087,L0087,manual,Mufti,Shirt,Linen,M,Used,11,3499,Tier 3,0.07,0.09,0.7,0.7,1,1.03,120,160,val
L0088,L0088,manual,Suta,Saree,Linen,M,Like New,6,3499,Tier 3,0.07,0.09,0.9,0.9,1.1,1.03,200,300,val
L0089,L0089,manual,H&M,Dress,Silk,S,Like New,6,1499,Tier 2,0.06,0.07,0.9,0.9,1.05,1.05,80,90,test
L0090,L0090,manual,Zara,Dress,Linen,S,New,2,6990,Tier 4,0.09,0.11,1,1,1.05,1.03,700,850,train
L0091,L0091,manual,Forever 21,Top,Cotton,S,Like New,5,1500,Tier 2,0.06,0.07,0.9,0.9,1,1,70,90,train
L0092,L0092,manual,Highlander,Top,Cotton,XL,Like New,2,599,Tier 1,0.05,0.06,0.9,1,1,1,30,30,train
L0093,L0093,manual,Prada,Dress,Silk,M,Like New,8,75499,Tier 5,0.11,0.14,0.9,0.8,1.05,1.05,6600,8400,train
L0094,L0094,manual,Soch,Ethnic Wear,Silk,S,Like New,4,1499,Tier 2,0.06,0.07,0.9,0.9,1.1,1.05,80,100,train
L0095,L0095,manual,Neeru's,Ethnic Wear,Silk,M,Like New,7,14999,Tier 4,0.09,0.11,0.9,0.8,1.1,1.05,1100,1400,train
L0096,L0096,manual,Meena Bazaar,Ethnic Wear,Silk,S,New,4,12999,Tier 4,0.09,0.11,1,0.9,1.1,1.05,1200,1500,train
L0097,L0097,manual,Sabyasachi,Lehenga,Silk,L,Like New,8,51999,Tier 5,0.11,0.14,0.9,0.8,1.1,1.05,4800,6100,val
L0098,L0098,manual,Rohit Bal,Ethnic Wear,Silk,L,Like New,5,49999,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,5100,6500,val
L0099,L0099,manual,W for Woman,Ethnic Wear,Silk,S,Used,7,1199,Tier 1,0.05,0.06,0.7,0.8,1.1,1.05,40,50,test
L0100,L0100,manual,Armani,Ethnic Wear,Polyester,L,New,2,85000,Tier 5,0.11,0.14,1,1,1.1,1,10300,13100,train
L0101,L0101,manual,Rangriti,Kurta,Cotton,M,New,3,699,Tier 1,0.05,0.06,1,1,1,1,30,40,train
L0102,L0102,manual,Style Bazaar,Top,Polyester,XL,Used,8,299,Tier 1,0.05,0.06,0.7,0.8,1,1,10,10,train
L0103,L0103,manual,Soch,Ethnic Wear,Cotton,XS,Used,9,799,Tier 1,0.05,0.06,0.7,0.8,1.1,1,20,30,train
L0104,L0104,manual,AND,Dress,Cotton,M,Like New,5,4999,Tier 3,0.07,0.09,0.9,0.9,1.05,1,300,400,train
L0105,L0105,manual,House of Masaba,Saree,Silk,M,Like New,7,13499,Tier 4,0.09,0.11,0.9,0.8,1.1,1.05,1000,1200,train
L0106,L0106,manual,Nicobar,Dress,Linen,S,New,3,7999,Tier 4,0.09,0.11,1,1,1.05,1.03,800,950,train
L0107,L0107,manual,Zara,Dress,Linen,L,New,2,9999,Tier 4,0.09,0.11,1,1,1.05,1.03,950,1200,val
L0108,L0108,manual,Armani,Jacket,Leather,S,Used,11,45459,Tier 5,0.11,0.14,0.7,0.7,1.05,1.05,2700,3400,val
L0109,L0109,manual,Zudio,Top,Cotton,S,Like New,4,599,Tier 1,0.05,0.06,0.9,0.9,1,1,20,30,test
L0110,L0110,manual,Easybuy,Shirt,Polyester,M,Used,8,699,Tier 1,0.05,0.06,0.7,0.8,1,1,20,20,train
L0111,L0111,manual,W for Woman,Saree,Silk,M,New,2,2499,Tier 2,0.06,0.07,1,1,1.1,1.05,170,200,train
L0112,L0112,manual,Zudio,Shirt,Cotton,M,New,1,399,Tier 1,0.05,0.06,1,1,1,1,20,20,train
L0113,L0113,manual,Easybuy,Top,Polyester,S,Like New,3,499,Tier 1,0.05,0.06,0.9,1,1,1,20,30,train
L0114,L0114,manual,GAP,Jeans,Denim,L,Used,11,5999,Tier 4,0.09,0.11,0.7,0.7,0.95,1,250,300,train
L0115,L0115,manual,American Eagle,Jeans,Denim,XS,Used,8,8499,Tier 4,0.09,0.11,0.7,0.8,0.95,1,400,500,train
L0116,L0116,manual,Under Armour,Activewear,Polyester,M,New,3,6999,Tier 4,0.09,0.11,1,1,0.95,1,600,750,train
L0117,L0117,manual,Anita Dongre,Lehenga,Silk,S,Like New,10,19499,Tier 5,0.11,0.14,0.9,0.8,1.1,1.05,1800,2300,val
L0118,L0118,manual,FBB,Kurta,Cotton,M,Used,9,999,Tier 1,0.05,0.06,0.7,0.8,1,1,30,30,val
L0119,L0119,manual,Pantaloons,Jeans,Denim,L,Like New,5,1199,Tier 1,0.05,0.06,0.9,0.9,0.95,1,50,60,test
L0120,L0120,manual,Vishal Mega Mart,Shirt,Cotton,L,Used,7,399,Tier 1,0.05,0.06,0.7,0.8,1,1,10,10,train
L0121,L0121,manual,Roadster,Shirt,Cotton,M,New,3,1099,Tier 1,0.05,0.06,1,1,1,1,50,70,train
L0122,L0122,manual,Libas,Kurta,Cotton,M,Like New,4,1199,Tier 1,0.05,0.06,0.9,0.9,1,1,50,60,train
L0123,L0123,manual,Sabyasachi,Lehenga,Silk,L,Like New,8,51999,Tier 5,0.11,0.14,0.9,0.8,1.1,1.05,4800,6100,train
L0124,L0124,manual,Gucci,Jacket,Leather,S,New,1,61999,Tier 5,0.11,0.14,1,1,1.05,1.05,7500,9600,train
L0125,L0125,manual,Max Fashion,Jeans,Denim,M,New,3,999,Tier 1,0.05,0.06,1,1,0.95,1,50,60,train
L0126,L0126,manual,Reliance Trends,Top,Cotton,S,Like New,6,799,Tier 1,0.05,0.06,0.9,0.9,1,1,30,40,train
L0127,L0127,manual,Aurelia,Ethnic Wear,Cotton,S,Like New,2,699,Tier 1,0.05,0.06,0.9,1,1.1,1,30,40,val
L0128,L0128,manual,Libas,Kurta,Cotton,S,New,4,899,Tier 1,0.05,0.06,1,0.9,1,1,40,50,val
L0129,L0129,manual,Max Fashion,Jeans,Denim,M,Used,5,799,Tier 1,0.05,0.06,0.7,0.9,0.95,1,20,30,test
L0130,L0130,manual,Reliance Trends,Shirt,Cotton,L,New,3,499,Tier 1,0.05,0.06,1,1,1,1,20,30,train
L0131,L0131,manual,Fabindia,Kurta,Cotton,M,Used,7,2999,Tier 3,0.07,0.09,0.7,0.8,1,1,120,150,train
L0132,L0132,manual,Suta,Saree,Linen,M,Like New,6,3499,Tier 3,0.07,0.09,0.9,0.9,1.1,1.03,200,300,train
L0133,L0133,manual,H&M,Dress,Cotton,S,Like New,6,1499,Tier 2,0.06,0.07,0.9,0.9,1.05,1,80,90,train
L0134,L0134,manual,Levi's,Jeans,Denim,M,New,2,3999,Tier 3,0.07,0.09,1,1,0.95,1,250,350,train
L0135,L0135,manual,Zara,Jacket,Denim,M,Used,8,4999,Tier 3,0.07,0.09,0.7,0.8,1.05,1,200,250,train
L0136,L0136,manual,Uniqlo,Jacket,Polyester,M,Like New,5,1999,Tier 2,0.06,0.07,0.9,0.9,1.05,1,100,120,train
L0137,L0137,manual,Forever 21,Dress,Polyester,S,New,2,1299,Tier 2,0.06,0.07,1,1,1.05,1,80,100,val
L0138,L0138,manual,GAP,Jeans,Denim,M,Used,10,3999,Tier 3,0.07,0.09,0.7,0.8,0.95,1,150,190,val
L0139,L0139,manual,FBB,Ethnic Wear,Cotton,L,New,4,699,Tier 1,0.05,0.06,1,0.9,1.1,1,30,40,test
L0140,L0140,manual,Prada,Dress,Silk,S,Like New,6,85999,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,8400,10800,train
L0141,L0141,manual,Highlander,Top,Cotton,XL,Like New,2,599,Tier 1,0.05,0.06,0.9,1,1,1,30,30,train
L0142,L0142,manual,Louis Vuitton,Shirt,Linen,XS,Like New,5,70499,Tier 5,0.11,0.14,0.9,0.9,1,1.03,6500,8200,train
L0143,L0143,manual,Prada,Dress,Silk,M,Like New,8,75499,Tier 5,0.11,0.14,0.9,0.8,1.05,1.05,6600,8400,train
L0144,L0144,manual,Soch,Ethnic Wear,Silk,S,Like New,4,1499,Tier 2,0.06,0.07,0.9,0.9,1.1,1.05,80,100,train
L0145,L0145,manual,Suta,Saree,Silk,M,New,1,2999,Tier 3,0.07,0.09,1,1,1.1,1.05,250,300,train
L0146,L0146,manual,Nalli,Saree,Silk,M,Like New,3,6999,Tier 4,0.09,0.11,0.9,1,1.1,1.05,650,800,train
L0147,L0147,manual,Neeru's,Lehenga,Silk,L,Like New,7,14999,Tier 4,0.09,0.11,0.9,0.8,1.1,1.05,1100,1400,val
L0148,L0148,manual,Meena Bazaar,Lehenga,Silk,S,New,4,12999,Tier 4,0.09,0.11,1,0.9,1.1,1.05,1200,1500,val
L0149,L0149,manual,Rangriti,Kurta,Cotton,M,New,2,999,Tier 1,0.05,0.06,1,1,1,1,50,60,test
L0150,L0150,manual,Vishal Mega Mart,Kurta,Cotton,L,Like New,5,799,Tier 1,0.05,0.06,0.9,0.9,1,1,30,40,train
L0151,L0151,manual,Style Bazaar,Shirt,Cotton,XL,Used,7,499,Tier 1,0.05,0.06,0.7,0.8,1,1,10,20,train
L0152,L0152,manual,American Eagle,Jeans,Denim,L,Like New,4,4999,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,350,train
L0153,L0153,manual,Sabyasachi,Lehenga,Silk,M,Like New,4,89999,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,9300,11800,train
L0154,L0154,manual,Manish Malhotra,Lehenga,Silk,M,Used,8,79999,Tier 5,0.11,0.14,0.7,0.8,1.1,1.05,5700,7200,train
L0155,L0155,manual,Uniqlo,Jacket,Denim,XS,Like New,5,1499,Tier 2,0.06,0.07,0.9,0.9,1.05,1,80,90,train
L0156,L0156,manual,Forever 21,Dress,Cotton,M,Like New,6,1299,Tier 2,0.06,0.07,0.9,0.9,1.05,1,70,80,train
L0157,L0157,manual,Manyavar,Ethnic Wear,Silk,XL,Like New,2,5499,Tier 4,0.09,0.11,0.9,1,1.1,1.05,500,650,val
L0158,L0158,manual,Fabindia,Ethnic Wear,Silk,XS,Used,8,2199,Tier 2,0.06,0.07,0.7,0.8,1.1,1.05,90,100,val
L0159,L0159,manual,Tommy Hilfiger,Shirt,Cotton,L,Like New,6,5999,Tier 4,0.09,0.11,0.9,0.9,1,1,450,550,test
L0160,L0160,manual,Calvin Klein,Jacket,Denim,M,Used,9,7999,Tier 4,0.09,0.11,0.7,0.8,1.05,1,400,500,train
L0161,L0161,manual,Aurelia,Kurta,Cotton,S,Used,8,999,Tier 1,0.05,0.06,0.7,0.8,1,1,30,30,train
L0162,L0162,manual,Biba,Kurta,Cotton,M,Like New,5,1499,Tier 2,0.06,0.07,0.9,0.9,1,1,70,80,train
L0163,L0163,manual,UCB,Shirt,Cotton,S,Like New,5,3499,Tier 3,0.07,0.09,0.9,0.9,1,1,200,250,train
L0164,L0164,manual,Global Desi,Saree,Silk,S,Like New,6,2499,Tier 2,0.06,0.07,0.9,0.9,1.1,1.05,140,160,train
L0165,L0165,manual,Anouk,Saree,Silk,M,New,3,1999,Tier 2,0.06,0.07,1,1,1.1,1.05,140,160,train
L0166,L0166,manual,Indya,Jacket,Denim,M,Used,9,1499,Tier 2,0.06,0.07,0.7,0.8,1.05,1,50,60,train
L0167,L0167,manual,Flying Machine,Jeans,Denim,L,Like New,4,1499,Tier 2,0.06,0.07,0.9,0.9,0.95,1,70,80,val
L0168,L0168,manual,Mufti,Shirt,Linen,M,Used,11,3499,Tier 3,0.07,0.09,0.7,0.7,1,1.03,120,160,val
L0169,L0169,manual,Anouk,Saree,Cotton,M,Used,7,1399,Tier 2,0.06,0.07,0.7,0.8,1.1,1,50,60,test
L0170,L0170,manual,Indya,Jacket,Denim,S,Like New,5,1299,Tier 2,0.06,0.07,0.9,0.9,1.05,1,70,80,train
L0171,L0171,manual,Pantaloons,Jeans,Denim,L,Used,9,1099,Tier 1,0.05,0.06,0.7,0.8,0.95,1,30,40,train
L0172,L0172,manual,Roadster,Jeans,Denim,XL,New,2,1099,Tier 1,0.05,0.06,1,1,0.95,1,50,60,train
L0173,L0173,manual,Armani,Ethnic Wear,Polyester,L,New,2,85000,Tier 5,0.11,0.14,1,1,1.1,1,10300,13100,train
L0174,L0174,manual,Versace,Dress,Silk,M,Like New,5,110000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,10800,13800,train
L0175,L0175,manual,Spykar,Shirt,Cotton,M,Like New,2,999,Tier 1,0.05,0.06,0.9,1,1,1,40,50,train
L0176,L0176,manual,Being Human,Top,Linen,S,New,8,999,Tier 1,0.05,0.06,1,0.8,1,1.03,40,50,train
L0177,L0177,manual,Prada,Dress,Silk,S,Like New,4,95000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,9300,11900,val
L0178,L0178,manual,Adidas,Activewear,Polyester,S,Like New,5,3499,Tier 3,0.07,0.09,0.9,0.9,0.95,1,190,250,val
L0179,L0179,manual,Puma,Activewear,Polyester,M,Used,7,2999,Tier 3,0.07,0.09,0.7,0.8,0.95,1,110,140,test
L0180,L0180,manual,Louis Vuitton,Jacket,Leather,M,Used,10,150000,Tier 5,0.11,0.14,0.7,0.8,1.05,1.05,10200,13000,train
L0181,L0181,manual,Red Tape,Shirt,Linen,S,New,3,899,Tier 1,0.05,0.06,1,1,1,1.03,50,60,train
L0182,L0182,manual,H&M,Dress,Cotton,S,Used,9,1199,Tier 1,0.05,0.06,0.7,0.8,1.05,1,40,40,train
L0183,L0183,manual,Gucci,Jacket,Leather,M,Like New,6,120000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,11800,15000,train
L0184,L0184,manual,Bewakoof,Top,Polyester,S,Used,6,499,Tier 1,0.05,0.06,0.7,0.9,1,1,20,20,train
L0185,L0185,manual,Reebok,Activewear,Polyester,L,New,3,2799,Tier 3,0.07,0.09,1,1,0.95,1,190,250,train
L0186,L0186,manual,Skechers,Activewear,Polyester,M,Like New,4,4999,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,350,train
L0187,L0187,manual,Moda Rapido,Dress,Denim,S,New,1,899,Tier 1,0.05,0.06,1,1,1.05,1,50,60,val
L0188,L0188,manual,Biba,Kurta,Silk,M,Like New,4,999,Tier 1,0.05,0.06,0.9,0.9,1,1.05,40,50,val
L0189,L0189,manual,W for Woman,Ethnic Wear,Cotton,S,Used,7,1199,Tier 1,0.05,0.06,0.7,0.8,1.1,1,40,40,test
L0190,L0190,manual,Global Desi,Saree,Silk,M,Like New,6,1499,Tier 2,0.06,0.07,0.9,0.9,1.1,1.05,80,100,train
L0191,L0191,manual,Nike,Activewear,Polyester,M,New,2,3999,Tier 3,0.07,0.09,1,1,0.95,1,250,350,train
L0192,L0192,manual,Tarun Tahiliani,Saree,Silk,S,Like New,6,69999,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,7200,9200,train
L0193,L0193,manual,Anita Dongre,Saree,Silk,M,New,3,59999,Tier 5,0.11,0.14,1,1,1.1,1.05,7600,9700,train
L0194,L0194,manual,Highlander,Shirt,Cotton,M,New,3,999,Tier 1,0.05,0.06,1,1,1,1,50,60,train
L0195,L0195,manual,Moda Rapido,Dress,Polyester,M,Used,7,1199,Tier 1,0.05,0.06,0.7,0.8,1.05,1,40,40,train
L0196,L0196,manual,Bewakoof,Top,Cotton,S,New,2,899,Tier 1,0.05,0.06,1,1,1,1,40,50,train
L0197,L0197,manual,Rohit Bal,Ethnic Wear,Silk,L,Like New,5,49999,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,5100,6500,val
L0198,L0198,manual,HRX,Activewear,Polyester,XS,Like New,3,999,Tier 1,0.05,0.06,0.9,1,0.95,1,40,50,val
